"NomVariable","Label"
"mergeid","Person identifier (fix across modules and waves)"
"hhid1","Household identifier (wave 1)"
"mergeidp1","Partner identifier (wave 1)"
"coupleid1","Couple identifier (wave 1)"
"country","Country identifier"
"language","Language of questionnaire"
"br001_","Ever smoked daily"
"br002_","Smoke at the present time"
"br003_","How many years smoked"
"br004_","Age stopped smoking"
"br005d1","Do or did smoke: cigarettes"
"br005d2","Do or did smoke: pipe"
"br005d3","Do or did smoke: cigars or cigarillos"
"br006_","Average amount of cigarettes per day"
"br007_","Average amount of pipes per day"
"br008_","Average amount of cigars per day"
"br010_","Days a week consumed alcohol last 6 months"
"br011_","Freq more than 2 glasses beer in a day"
"br012_","Freq more than 2 glasses wine in a day"
"br013_","Freq more than 2 hard liquor in a day"
"br015_","Sports or activities that are vigorous"
"br016_","Activities requiring a moderate level of energy"
"br017_","Who answered the questions in br"
