"NomVariable","Label"
"mergeid","Person identifier (fix across modules and waves)"
"hhid1","Household identifier (wave 1)"
"mergeidp1","Partner identifier (wave 1)"
"coupleid1","Couple identifier (wave 1)"
"country","Country identifier"
"language","Language of questionnaire"
"exrate","Exchange rate 1 euro"
"co002e","Amount spent on food at home"
"co003e","Amount spent on food outside the home"
"co004e","Amount spent on telephones in last month"
"co005e","Amount spent on all goods and services in last month"
"co007_","Is household able to make ends meet"
"co008_","Situation improvement thinking back one year"
"co009_","Who answered the questions in co"
