"NomVariable","Label"
"mergeid","Person identifier (fix across modules and waves)"
"hhid1","Household identifier (wave 1)"
"mergeidp1","Partner identifier (wave 1)"
"coupleid1","Couple identifier (wave 1)"
"country","Country identifier"
"language","Language of questionnaire"
"waveid","Identifier of original wave (person)"
"waveid_hh","Identifier of original wave (household)"
"firstwave","First appearance of person in SHARE"
"firstwave_hh","Wave household was sampled/first participated"
"cvresp","Coverscreen respondent"
"gender","Male or female"
"mobirth","Month of birth"
"yrbirth","Year of birth"
"age2004","Age in 2004"
"age_int","Age of respondent at the time of interview"
"mobirthp","Month of birth spouse/partner"
"yrbirthp","Year of birth spouse/partner"
"agep2004","Age of partner in 2004"
"partnerinhh","Partner in household"
"relrpers","Relation to coverscreen respondent"
"hhsize","Household size"
"fam_resp","Family respondent"
"fin_resp","Financial respondent"
"finsep","Finances totally separate"
"hou_resp","Household respondent"
"ILgroup","Population group (Israel only)"
"interview","Interview done in wave 1"
"int_year","Interview year"
"int_month","Interview month"
