"NomVariable","Label"
"mergeid","Person identifier (fix across modules and waves)"
"hhid1","Household identifier (wave 1)"
"mergeidp1","Partner identifier (wave 1)"
"coupleid1","Couple identifier (wave 1)"
"country","Country identifier"
"language","Language of questionnaire"
"exrate","Exchange rate 1 euro"
"ep002_","Did nevertheless any paid work last four weeks"
"ep003_","Temporarily away from work"
"ep005_","Current job situation"
"ep005raw","Current job situation (original response)"
"ep006_","Ever done paid work"
"ep007_","Currently more than one job"
"ep009_1","Employee or a self-employed in (main) job"
"ep009_2","Employee or a self-employed in secondary job"
"ep010_1","Start of current (main) job (year)"
"ep010_2","Start of current secondary job (year)"
"ep011_1","Term of (main) job"
"ep011_2","Term of secondary job"
"ep012_1","Total contracted hours per week (main) job"
"ep012_2","Total contracted hours per week secondary job"
"ep013_1","Total hours worked per week (main) job"
"ep013_2","Total hours worked per week secondary job"
"ep014_1","Months worked in (main) job (number)"
"ep014_2","Months worked in secondary job (number)"
"ep019_1","Employed in the public sector, (main) job"
"ep019_2","Employed in the public sector, secondary job"
"ep020_1","Number of people employed at firm, (main) job"
"ep020_2","Number of people employed at firm, secondary job"
"ep021_1","Responsibility for supervising other employees, (main) job"
"ep021_2","Responsibility for supervising other employees, secondary job"
"ep022_1","Number of people responsible for in (main) job"
"ep022_2","Number of people responsible for in secondary job"
"ep024_1","Number of employees in (main) job"
"ep024_2","Number of employees in secondary job"
"ep026_","Satisfied with (main) job"
"ep027_","(Main) job physically demanding"
"ep028_","Time pressure due to a heavy workload in (main) job"
"ep029_","Little freedom to decide how I do my work in (main) job"
"ep030_","Opportunity to develop new skills in (main) job"
"ep031_","Receive support in difficult situations in (main) job"
"ep032_","Receive recognition for work in (main) job"
"ep033_","Salary or earnings are adequate in (main) job"
"ep034_","Poor prospects for (main) job advancement"
"ep035_","Poor (main) job security"
"ep036_","Look for early retirement in (main) job"
"ep037_","Afraid health limits ability to work before regular retirement in (main) job"
"ep038_1","Frequency of payment in (main) job"
"ep038_2","Frequency of payment in secondary job"
"ep041e_1","Taken home from work before tax, (main) job"
"ep041ub_1","Taken home from work before tax, (main) job ub"
"ep041e_2","Taken home from work before tax, secondary job"
"ep041ub_2","Taken home from work before tax, secondary job ub"
"ep041v1","Bracket value 1"
"ep041v2","Bracket value 2"
"ep041v3","Bracket value 3"
"ep045e_1","Total amount of profits at the end of the year, (main) job"
"ep045ub_1","Total amount of profits at the end of the year, (main) job ub"
"ep045e_2","Total amount of profits at the end of the year, secondary job"
"ep045ub_2","Total amount of profits at the end of the year, secondary job ub"
"ep045v1","Bracket value 1"
"ep045v2","Bracket value 2"
"ep045v3","Bracket value 3"
"ep049_","Years working in last job"
"ep050_","Year last job ended"
"ep051_","Employee or a self employed in last job"
"ep055_","Employed in the public sector, last job"
"ep056_","Number of people employed at firm, last job"
"ep057_","Responsibility for supervising others, last job"
"ep058_","Number of people responsible for, last job"
"ep059_","Opportunities to work after the official retirement age"
"ep061_","Number of employees, last job"
"ep064d1","Reason retirement: country-specific category 1"
"ep064d2","Reason retirement: country-specific category 2"
"ep064d3","Reason retirement: country-specific category 3"
"ep064d4","Reason retirement: country-specific category 4"
"ep064d5","Reason retirement: country-specific category 5"
"ep064d6","Reason retirement: country-specific category 6"
"ep064d7","Reason retirement: country-specific category 7"
"ep064d8","Reason retirement: country-specific category 8"
"ep064d9","Reason retirement: country-specific category 9"
"ep064d10","Reason retirement: country-specific category 10"
"ep064dot","Reason retirement: other"
"ep065_","Retirement been a relief or a concern"
"ep067_","How became unemployed"
"ep068_","Disability caused by work"
"ep069d1","Reason stopped working: health problems"
"ep069d2","Reason stopped working: too tiring"
"ep069d3","Reason stopped working: too expensive to hire someone to look after home/family"
"ep069d4","Reason stopped working: wanted to take care of (grand)children"
"ep069dot","Reason stopped working: other"
"ep071d1","Income sources: country-specific category 1"
"ep071d2","Income sources: country-specific category 2"
"ep071d3","Income sources: country-specific category 3"
"ep071d4","Income sources: country-specific category 4"
"ep071d5","Income sources: country-specific category 5"
"ep071d6","Income sources: country-specific category 6"
"ep071d7","Income sources: country-specific category 7"
"ep071d8","Income sources: country-specific category 8"
"ep071d9","Income sources: country-specific category 9"
"ep071d10","Income sources: country-specific category 10"
"ep071d11","Income sources: country-specific category 11"
"ep071dot","Income sources: country-specific category 50"
"ep071dno","Income sources: none of these"
"ep074_1","Period of income source c1"
"ep074_2","Period of income source c2"
"ep074_3","Period of income source c3"
"ep074_4","Period of income source c4"
"ep074_5","Period of income source c5"
"ep074_6","Period of income source c6"
"ep074_7","Period of income source c7"
"ep074_8","Period of income source c8"
"ep074_9","Period of income source c9"
"ep074_10","Period of income source c10"
"ep074_11","Period of income source c11"
"ep078e_1","Average payment income source c1 last year"
"ep078ub_1","Average payment income source c1 last year ub"
"ep078e_2","Average payment income source c2 last year"
"ep078ub_2","Average payment income source c2 last year ub"
"ep078e_3","Average payment income source c3 last year"
"ep078ub_3","Average payment income source c3 last year ub"
"ep078e_4","Average payment income source c4 last year"
"ep078ub_4","Average payment income source c4 last year ub"
"ep078e_5","Average payment income source c5 last year"
"ep078ub_5","Average payment income source c5 last year ub"
"ep078e_6","Average payment income source c6 last year"
"ep078ub_6","Average payment income source c6 last year ub"
"ep078e_7","Average payment income source c7 last year"
"ep078ub_7","Average payment income source c7 last year ub"
"ep078e_8","Average payment income source c8 last year"
"ep078ub_8","Average payment income source c8 last year ub"
"ep078e_9","Average payment income source c9 last year"
"ep078ub_9","Average payment income source c9 last year ub"
"ep078e_10","Average payment income source c10 last year"
"ep078ub_10","Average payment income source c10 last year ub"
"ep078e_11","Average payment income source c11 last year"
"ep078ub_11","Average payment income source c11 last year ub"
"ep078v1","Bracket value 1"
"ep078v2","Bracket value 2"
"ep078v3","Bracket value 3"
"ep081_1","Lump sum payment income source c1"
"ep081_2","Lump sum payment income source c2"
"ep081_3","Lump sum payment income source c3"
"ep081_4","Lump sum payment income source c4"
"ep081_5","Lump sum payment income source c5"
"ep081_6","Lump sum payment income source c6"
"ep081_7","Lump sum payment income source c7"
"ep081_8","Lump sum payment income source c8"
"ep081_9","Lump sum payment income source c9"
"ep081_10","Lump sum payment income source c10"
"ep081_11","Lump sum payment income source c11"
"ep082e_1","Total amount of lump sum payment income source c1"
"ep082ub_1","Total amount of lump sum payment income source c1 ub"
"ep082e_2","Total amount of lump sum payment income source c2"
"ep082ub_2","Total amount of lump sum payment income source c2 ub"
"ep082e_3","Total amount of lump sum payment income source c3"
"ep082ub_3","Total amount of lump sum payment income source c3 ub"
"ep082e_4","Total amount of lump sum payment income source c4"
"ep082ub_4","Total amount of lump sum payment income source c4 ub"
"ep082e_5","Total amount of lump sum payment income source c5"
"ep082ub_5","Total amount of lump sum payment income source c5 ub"
"ep082e_6","Total amount of lump sum payment income source c6"
"ep082ub_6","Total amount of lump sum payment income source c6 ub"
"ep082e_7","Total amount of lump sum payment income source c7"
"ep082ub_7","Total amount of lump sum payment income source c7 ub"
"ep082e_8","Total amount of lump sum payment income source c8"
"ep082ub_8","Total amount of lump sum payment income source c8 ub"
"ep082e_9","Total amount of lump sum payment income source c9"
