"NomVariable","Label"
"mergeid","Person identifier (fix across modules and waves)"
"hhid1","Household identifier (wave 1)"
"mergeidp1","Partner identifier (wave 1)"
"coupleid1","Couple identifier (wave 1)"
"country","Country identifier"
"language","Language of questionnaire"
"gs001_","Willing to have handgrip measured"
"gs002_","Record respondent status"
"gs004_","Dominant hand"
"gs006_","1st measurement: left hand"
"gs007_","2nd measurement: left hand"
"gs008_","1st measurement: right hand"
"gs009_","2nd measurement: right hand"
