"NomVariable","Label"
"country","Country identifier"
"euro","Euro country"
"currency","currency"
"exrate_w1","Exchange rate used for wave 1"
"exrate_w2","Exchange rate used for wave 2"
"exrate_w3","Exchange rate used for wave 3"
"exrate_w4","Exchange rate used for wave 4"
"exrate_w5","Exchange rate used for wave 5"
"exrate_w6","Exchange rate used for wave 6"
"exrate_w7","Exchange rate used for wave 7"
"exrate_w8","Exchange rate used for wave 8"
"exrate_w8ca","Exchange rate used for COVID-19 survey 1 (8ca)"
"exrate_w9ca","Exchange rate used for COVID-19 survey 2 (9ca)"
"exrate_w9","Exchange rate used for wave 9"
"nomx2003","Nominal exchange rate (national currency/Euro), annual average, 2003"
"nomx2004","Nominal exchange rate (national currency/Euro), annual average, 2004"
"nomx2005","Nominal exchange rate (national currency/Euro), annual average, 2005"
"nomx2006","Nominal exchange rate (national currency/Euro), annual average, 2006"
"nomx2007","Nominal exchange rate (national currency/Euro), annual average, 2007"
"nomx2008","Nominal exchange rate (national currency/Euro), annual average, 2008"
"nomx2009","Nominal exchange rate (national currency/Euro), annual average, 2009"
"nomx2010","Nominal exchange rate (national currency/Euro), annual average, 2010"
"nomx2011","Nominal exchange rate (national currency/Euro), annual average, 2011"
"nomx2012","Nominal exchange rate (national currency/Euro), annual average, 2012"
"nomx2013","Nominal exchange rate (national currency/Euro), annual average, 2013"
"nomx2014","Nominal exchange rate (national currency/Euro), annual average, 2014"
"nomx2015","Nominal exchange rate (national currency/Euro), annual average, 2015"
"nomx2016","Nominal exchange rate (national currency/Euro), annual average, 2016"
"nomx2017","Nominal exchange rate (national currency/Euro), annual average, 2017"
"nomx2018","Nominal exchange rate (national currency/Euro), annual average, 2018"
"nomx2019","Nominal exchange rate (national currency/Euro), annual average, 2019"
"nomx2020","Nominal exchange rate (national currency/Euro), annual average, 2020"
"nomx2021","Nominal exchange rate (national currency/Euro), annual average, 2021"
"nomx2022","Nominal exchange rate (national currency/Euro), annual average, 2022"
"pppc2003","Current PPP exchange rate (national currency/Euro), 2003"
"pppc2004","Current PPP exchange rate (national currency/Euro), 2004"
"pppc2005","Current PPP exchange rate (national currency/Euro), 2005"
"pppc2006","Current PPP exchange rate (national currency/Euro), 2006"
"pppc2007","Current PPP exchange rate (national currency/Euro), 2007"
"pppc2008","Current PPP exchange rate (national currency/Euro), 2008"
"pppc2009","Current PPP exchange rate (national currency/Euro), 2009"
"pppc2010","Current PPP exchange rate (national currency/Euro), 2010"
"pppc2011","Current PPP exchange rate (national currency/Euro), 2011"
"pppc2012","Current PPP exchange rate (national currency/Euro), 2012"
"pppc2013","Current PPP exchange rate (national currency/Euro), 2013"
"pppc2014","Current PPP exchange rate (national currency/Euro), 2014"
"pppc2015","Current PPP exchange rate (national currency/Euro), 2015"
"pppc2016","Current PPP exchange rate (national currency/Euro), 2016"
"pppc2017","Current PPP exchange rate (national currency/Euro), 2017"
"pppc2018","Current PPP exchange rate (national currency/Euro), 2018"
"pppc2019","Current PPP exchange rate (national currency/Euro), 2019"
"pppc2020","Current PPP exchange rate (national currency/Euro), 2020"
"pppc2021","Current PPP exchange rate (national currency/Euro), 2021"
"pppc2022","Current PPP exchange rate (national currency/Euro), 2022"
"pppk2003","Constant PPP exchange rate (national currency/Euro), (Germany 2015=1), 2003"
"pppk2004","Constant PPP exchange rate (national currency/Euro), (Germany 2015=1), 2004"
"pppk2005","Constant PPP exchange rate (national currency/Euro), (Germany 2015=1), 2005"
"pppk2006","Constant PPP exchange rate (national currency/Euro), (Germany 2015=1), 2006"
"pppk2007","Constant PPP exchange rate (national currency/Euro), (Germany 2015=1), 2007"
"pppk2008","Constant PPP exchange rate (national currency/Euro), (Germany 2015=1), 2008"
"pppk2009","Constant PPP exchange rate (national currency/Euro), (Germany 2015=1), 2009"
"pppk2010","Constant PPP exchange rate (national currency/Euro), (Germany 2015=1), 2010"
"pppk2011","Constant PPP exchange rate (national currency/Euro), (Germany 2015=1), 2011"
"pppk2012","Constant PPP exchange rate (national currency/Euro), (Germany 2015=1), 2012"
"pppk2013","Constant PPP exchange rate (national currency/Euro), (Germany 2015=1), 2013"
"pppk2014","Constant PPP exchange rate (national currency/Euro), (Germany 2015=1), 2014"
"pppk2015","Constant PPP exchange rate (national currency/Euro), (Germany 2015=1), 2015"
"pppk2016","Constant PPP exchange rate (national currency/Euro), (Germany 2015=1), 2016"
"pppk2017","Constant PPP exchange rate (national currency/Euro), (Germany 2015=1), 2017"
"pppk2018","Constant PPP exchange rate (national currency/Euro), (Germany 2015=1), 2018"
"pppk2019","Constant PPP exchange rate (national currency/Euro), (Germany 2015=1), 2019"
"pppk2020","Constant PPP exchange rate (national currency/Euro), (Germany 2015=1), 2020"
"pppk2021","Constant PPP exchange rate (national currency/Euro), (Germany 2015=1), 2021"
"pppk2022","Constant PPP exchange rate (national currency/Euro), (Germany 2015=1), 2022"
"currency_pre","Currency pre-euro"
"exrate_pre","Nominal exchange rate for pre-euro currencies"
