"NomVariable","Label"
"mergeid","Person identifier (fix across modules and waves)"
"hhid1","Household identifier (wave 1)"
"mergeidp1","Partner identifier (wave 1)"
"coupleid1","Couple identifier (wave 1)"
"country","Country identifier"
"language","Language of questionnaire"
"hhsize","Household size"
"htype","Household type"
"sic","Social insurance contributions"
"tax","Personal income tax"
"ytotg","Total individual income, gross"
"ytotn","Total individual income, net"
"ynrpg","NRP income, gross"
"ynrpn","NRP income, net"
"hhyotg","Other household members gross income and household benefits"
"hhyotn","Other household members net income and household benefits"
"hhytotg","Total household income, gross"
"hhytotn","Total household income, net"
"hhyotg_f","Other household members gross income and household benefits - Flag"
"hhyotn_f","Other household members net income and household benefits - Flag"
