"NomVariable","Label"
"mergeid","Person identifier (fix across modules and waves)"
"hhid1","Household identifier (wave 1)"
"mergeidp1","Partner identifier (wave 1)"
"coupleid1","Couple identifier (wave 1)"
"country","Country identifier"
"language","Language of questionnaire"
"isced1997_c1","Respondent's child 1: ISCED-97 coding of education"
"isced1997_c2","Respondent's child 2: ISCED-97 coding of education"
"isced1997_c3","Respondent's child 3: ISCED-97 coding of education"
"isced1997_c4","Respondent's child 4: ISCED-97 coding of education"
"isced1997_iv","Interviewer: ISCED-97 coding of education"
"isced1997_r","Respondent: ISCED-97 coding of education"
"isced1997_sp","Spouse/ex-spouse of respondent: ISCED-97 coding of education"
"isced1997y_c1","Respondent's sel. child 1: years of education derived from ISCED-97"
"isced1997y_c2","Respondent's sel. child 2: years of education derived from ISCED-97"
"isced1997y_c3","Respondent's sel. child 3: years of education derived from ISCED-97"
"isced1997y_c4","Respondent's sel. child 4: years of education derived from ISCED-97"
"isced1997y_iv","Interviewer: years of education derived from ISCED-97"
"isced1997y_r","Respondent: years of education derived from ISCED-97"
"isced1997y_sp","Spouse/ex-spouse of respondent: years of education derived from ISCED-97"
