"NomVariable","Label"
"mergeid","Person identifier (fix across modules and waves)"
"hhid1","Household identifier (wave 1)"
"mergeidp1","Partner identifier (wave 1)"
"coupleid1","Couple identifier (wave 1)"
"country","Country identifier"
"language","Language of questionnaire"
"exrate","Exchange rate 1 euro"
"hh001_","Other contributor to household income"
"hh002e","Total income (other) household members last year"
"hh002ub","Total income (other) household members last year ub"
"hh002v1","Bracket value 1"
"hh002v2","Bracket value 2"
"hh002v3","Bracket value 3"
"hh010_","Income from other sources"
"hh011e","Additional income received by all hh-members last year"
"hh011ub","Additional income received by all hh-members last year ub"
"hh011v1","Bracket value 1"
"hh011v2","Bracket value 2"
"hh011v3","Bracket value 3"
"hh014_","Who answered the question in hh"
