"NomVariable","Label"
"mergeid","Person identifier (fix across modules and waves)"
"hhid1","Household identifier (wave 1)"
"mergeidp1","Partner identifier (wave 1)"
"coupleid1","Couple identifier (wave 1)"
"country","Country identifier"
"language","Language of questionnaire"
"exrate","Exchange rate 1 euro"
"ho001_","Interview in house of respondent"
"ho002_","Owner, tenant or rent free"
"ho003_","Rent payment period"
"ho005e","Amount last rent payment"
"ho005ub","Amount last rent payment ub"
"ho005v1","Bracket value 1"
"ho005v2","Bracket value 2"
"ho005v3","Bracket value 3"
"ho007_","Last rent payment included all charges and services"
"ho008e","Amount charges and services"
"ho008ub","Amount charges and services ub"
"ho008v1","Bracket value 1"
"ho008v2","Bracket value 2"
"ho008v3","Bracket value 3"
"ho010_","More than two months behind with rent"
"ho011_","How property acquired"
"ho012_","Year acquired property"
"ho013_","Mortgages or loans on property"
"ho014_","Years left of mortgage or loan"
"ho015e","Amount still to pay on mortgage or loan"
"ho015ub","Amount still to pay on mortgage or loan ub"
"ho015v1","Bracket value 1"
"ho015v2","Bracket value 2"
"ho015v3","Bracket value 3"
"ho017_","Regularly repay mortgage or loans"
"ho018_","period repay mortgage or loan"
"ho020e","Amount regular repayments on mortgage or loan"
"ho020ub","Amount regular repayments on mortgage or loan ub"
"ho020v1","Bracket value 1"
"ho020v2","Bracket value 2"
"ho020v3","Bracket value 3"
"ho022_","Behind with regular repay mortgage or loan"
"ho023_","Sublet or let parts of accommodation"
"ho024e","Value of property"
"ho024ub","Value of property ub"
"ho024v1","Bracket value 1"
"ho024v2","Bracket value 2"
"ho024v3","Bracket value 3"
"ho026_","Own other real estate"
"ho027e","Value of other real estate"
"ho027ub","Value of other real estate ub"
"ho027v1","Bracket value 1"
"ho027v2","Bracket value 2"
"ho027v3","Bracket value 3"
"ho029_","Received income or rent of other real estate"
"ho030e","Amount income or rent of other real estate last year"
"ho030ub","Amount income or rent of other real estate last year ub"
"ho030v1","Bracket value 1"
"ho030v2","Bracket value 2"
"ho030v3","Bracket value 3"
"ho032_","Number of rooms in accommodation"
"ho033_","Special features in accommodation"
"ho034_","Years in accommodation"
"ho035_","Years in community"
"ho036_","Type of building"
"ho037_","Area where respondent lives"
"ho038_","Spend regulary time in other residence"
"ho039_","Location of other residence"
"ho041_","Who answered the questions in ho"
"ho042_","Number of floors of building"
"ho043_","Number of steps to entrance"
