"NomVariable","Label"
"mergeid","Person identifier (fix across modules and waves)"
"hhid1","Household identifier (wave 1)"
"mergeidp1","Partner identifier (wave 1)"
"coupleid1","Couple identifier (wave 1)"
"country","Country identifier"
"language","Language of questionnaire"
"mh002_","Sad or depressed last month"
"mh003_","Hopes for the future"
"mh004_","Suicidal feelings or wish to be dead"
"mh005_","Feels guilty"
"mh006_","Blame for what"
"mh007_","Trouble sleeping"
"mh008_","Less or same interest in things"
"mh009_","Keeps up interest"
"mh010_","Irritability"
"mh011_","Appetite"
"mh012_","Eating more or less"
"mh013_","Fatigue"
"mh014_","Concentration on entertainment"
"mh015_","Concentration on reading"
"mh016_","Enjoyment"
"mh017_","Tearfulness"
"mh018_","Depression ever"
"mh019_","Age depression symptoms first time"
"mh020_","Ever treated for depression by doctor or psychiatrist"
"mh021_","Ever admitted to mental hospital or psychiatric ward"
