"NomVariable","Label"
"mergeid","Person identifier (fix across modules and waves)"
"hhid1","Household identifier (wave 1)"
"mergeidp1","Partner identifier (wave 1)"
"coupleid1","Couple identifier (wave 1)"
"country","Country identifier"
"language","Language of questionnaire"
"fam_resp","Family respondent"
"fin_resp","Financial respondent"
"hou_resp","Household respondent"
"mn005_","Single or couple interview"
"mn016_","Mother in household"
"mn017_","Father in household"
"mn018_","Mother-in-law in household"
"mn019_","Father-in-law in household"
