"NomVariable","Label"
"mergeid","Person identifier (fix across modules and waves)"
"hhid1","Household identifier (wave 1)"
"mergeidp1","Partner identifier (wave 1)"
"coupleid1","Couple identifier (wave 1)"
"country","Country identifier"
"language","Language of questionnaire"
"type","Vignette type"
"v1","A1-B6: pain self-rating"
"v2","A2-B5: sleep self-rating"
"v3","A3-B4: mobility self-rating"
"v4","A4-B3: memory self-rating"
"v5","A5-B2: breath self-rating"
"v6","A6-B1: depress self-rating"
"v7","A7-B7: work disability self-rating"
"v8","A8-B25: pain vignette 1"
"v9","A9-B24: sleep vignette 1"
"v10","A10-B23: pain vignette 2"
"v11","A11-B22: sleep vignette 2"
"v12","A12-B21: pain vignette 3"
"v13","A13-B20: sleep vignette 3"
"v14","A14-B19: mobility vignette 1"
"v15","A15-B18: memory vignette 1"
"v16","A16-B17: mobility vignette 2"
"v17","A17-B16: memory vignette 2"
"v18","A18-B15: mobility vignette 3"
"v19","A19-B14: memory vignette 3"
"v20","A20-B13: breath vignette 1"
"v21","A21-B12: depress vignette 1"
"v22","A22-B11: breath vignette 2"
"v23","A23-B10: depress vignette 2"
"v24","A24-B9: breath vignette 3"
"v25","A25-B8: depress vignette 3"
"v26","A26-B34: work disability vignette 1"
"v27","A27-B33: work disability vignette 2"
"v28","A28-B32: work disability vignette 3"
"v29","A29-B31: work disability vignette 4"
"v30","A30-B30: work disability vignette 5"
"v31","A31-B29: work disability vignette 6"
"v32","A32-B28: work disability vignette 7"
"v33","A33-B27: work disability vignette 8"
"v34","A34-B26: work disability vignette 9"
