"NomVariable","Label"
"mergeid","Person identifier (fix across modules and waves)"
"hhid1","Household identifier (wave 1)"
"mergeidp1","Partner identifier (wave 1)"
"coupleid1","Couple identifier (wave 1)"
"country","Country identifier"
"language","Language of questionnaire"
"ws001_","Record respondent status"
"ws002_","Able to walk alone (using aid)"
"ws003_","Is it safe to carry out the test"
"ws004_","Respondent willing to do walking test"
"ws005_","Does respondent feel safe to continue"
"ws007_","Check available space for test"
"ws010_","Result of first trial"
"ws011_","Time of first walking speed test"
"ws012_","Result of second trial"
"ws013_","Time of second walking speed test"
"ws014_","Did the respondent have comment on pain"
"ws015_","Record type of floor surface"
"ws017_","Type of aid used during test"
