column,file_name,is_valid
country,sharew1_rel9-0-0_hc.dta,True
language,sharew1_rel9-0-0_hc.dta,True
exrate,sharew1_rel9-0-0_hc.dta,True
hc002_,sharew1_rel9-0-0_hc.dta,True
hc003_,sharew1_rel9-0-0_hc.dta,True
hc004_,sharew1_rel9-0-0_hc.dta,True
hc005_,sharew1_rel9-0-0_hc.dta,True
hc006_,sharew1_rel9-0-0_hc.dta,True
hc007_,sharew1_rel9-0-0_hc.dta,True
hc008_,sharew1_rel9-0-0_hc.dta,True
hc009_,sharew1_rel9-0-0_hc.dta,True
hc010_,sharew1_rel9-0-0_hc.dta,True
hc011_,sharew1_rel9-0-0_hc.dta,True
hc012_,sharew1_rel9-0-0_hc.dta,True
hc013_,sharew1_rel9-0-0_hc.dta,True
hc014_,sharew1_rel9-0-0_hc.dta,True
hc015d1,sharew1_rel9-0-0_hc.dta,True
hc015d2,sharew1_rel9-0-0_hc.dta,True
hc015d3,sharew1_rel9-0-0_hc.dta,True
hc016_,sharew1_rel9-0-0_hc.dta,True
hc017_,sharew1_rel9-0-0_hc.dta,True
hc018_,sharew1_rel9-0-0_hc.dta,True
hc019_,sharew1_rel9-0-0_hc.dta,True
hc020_,sharew1_rel9-0-0_hc.dta,True
hc021_,sharew1_rel9-0-0_hc.dta,True
hc022_,sharew1_rel9-0-0_hc.dta,True
hc023_,sharew1_rel9-0-0_hc.dta,True
hc024_,sharew1_rel9-0-0_hc.dta,True
hc025_,sharew1_rel9-0-0_hc.dta,True
hc026_,sharew1_rel9-0-0_hc.dta,True
hc027_,sharew1_rel9-0-0_hc.dta,True
hc028_,sharew1_rel9-0-0_hc.dta,True
hc029_,sharew1_rel9-0-0_hc.dta,True
hc030_,sharew1_rel9-0-0_hc.dta,True
hc031_,sharew1_rel9-0-0_hc.dta,True
hc032d1,sharew1_rel9-0-0_hc.dta,True
hc032d2,sharew1_rel9-0-0_hc.dta,True
hc032d3,sharew1_rel9-0-0_hc.dta,True
hc032dno,sharew1_rel9-0-0_hc.dta,True
hc033_,sharew1_rel9-0-0_hc.dta,True
hc034_,sharew1_rel9-0-0_hc.dta,True
hc035_,sharew1_rel9-0-0_hc.dta,True
hc036_,sharew1_rel9-0-0_hc.dta,True
hc037_,sharew1_rel9-0-0_hc.dta,True
hc038_,sharew1_rel9-0-0_hc.dta,True
hc039d1,sharew1_rel9-0-0_hc.dta,True
hc039d2,sharew1_rel9-0-0_hc.dta,True
hc039d3,sharew1_rel9-0-0_hc.dta,True
hc039d4,sharew1_rel9-0-0_hc.dta,True
hc039d5,sharew1_rel9-0-0_hc.dta,True
hc039d6,sharew1_rel9-0-0_hc.dta,True
hc039d7,sharew1_rel9-0-0_hc.dta,True
hc039d8,sharew1_rel9-0-0_hc.dta,True
