column,labels,file_name,is_valid
country,Country identifier,sharew4_rel9-0-0_gv_isced.dta,True
language,Language of questionnaire,sharew4_rel9-0-0_gv_isced.dta,True
isced1997_r,Respondent: ISCED-97 coding of education,sharew4_rel9-0-0_gv_isced.dta,True
isced1997_sp,Spouse/ex-spouse of respondent: ISCED-97 coding of education,sharew4_rel9-0-0_gv_isced.dta,True
isced1997_c1,"""Respondents child 1: ISCED-97 coding of education""",sharew4_rel9-0-0_gv_isced.dta,True
isced1997_c2,"""Respondents child 2: ISCED-97 coding of education""",sharew4_rel9-0-0_gv_isced.dta,True
isced1997_c3,"""Respondents child 3: ISCED-97 coding of education""",sharew4_rel9-0-0_gv_isced.dta,True
isced1997_c4,"""Respondents child 4: ISCED-97 coding of education""",sharew4_rel9-0-0_gv_isced.dta,True
isced1997_c5,"""Respondents child 5: ISCED-97 coding of education""",sharew4_rel9-0-0_gv_isced.dta,True
isced1997_c6,"""Respondents child 6: ISCED-97 coding of education""",sharew4_rel9-0-0_gv_isced.dta,True
isced1997_c7,"""Respondents child 7: ISCED-97 coding of education""",sharew4_rel9-0-0_gv_isced.dta,True
isced1997_c8,"""Respondents child 8: ISCED-97 coding of education""",sharew4_rel9-0-0_gv_isced.dta,True
isced1997_c9,"""Respondents child 9: ISCED-97 coding of education""",sharew4_rel9-0-0_gv_isced.dta,True
isced1997_c10,"""Respondents child 10: ISCED-97 coding of education""",sharew4_rel9-0-0_gv_isced.dta,True
isced1997_c11,"""Respondents child 11: ISCED-97 coding of education""",sharew4_rel9-0-0_gv_isced.dta,True
isced1997_c12,"""Respondents child 12: ISCED-97 coding of education""",sharew4_rel9-0-0_gv_isced.dta,True
isced1997_c13,"""Respondents child 13: ISCED-97 coding of education""",sharew4_rel9-0-0_gv_isced.dta,True
isced1997_c14,"""Respondents child 14: ISCED-97 coding of education""",sharew4_rel9-0-0_gv_isced.dta,True
isced1997_c15,"""Respondents child 15: ISCED-97 coding of education""",sharew4_rel9-0-0_gv_isced.dta,True
isced1997_c16,"""Respondents child 16: ISCED-97 coding of education""",sharew4_rel9-0-0_gv_isced.dta,True
isced1997_c17,"""Respondents child 17: ISCED-97 coding of education""",sharew4_rel9-0-0_gv_isced.dta,True
isced1997_c18,"""Respondents child 18: ISCED-97 coding of education""",sharew4_rel9-0-0_gv_isced.dta,True
isced1997_c19,"""Respondents child 19: ISCED-97 coding of education""",sharew4_rel9-0-0_gv_isced.dta,True
isced1997_c20,"""Respondents child 20: ISCED-97 coding of education""",sharew4_rel9-0-0_gv_isced.dta,True
ph003_,Health in general question 2,sharew4_rel9-0-0_ph.dta,True
ph004_,Long-term illness,sharew4_rel9-0-0_ph.dta,True
ph005_,Limited in activities because of health,sharew4_rel9-0-0_ph.dta,True
ph006d1,Heart attack: ever diagnosed/currently having,sharew4_rel9-0-0_ph.dta,True
ph006d2,High blood pressure or hypertension: ever diagnosed/currently having,sharew4_rel9-0-0_ph.dta,True
ph006d3,High blood cholesterol: ever diagnosed/currently having,sharew4_rel9-0-0_ph.dta,True
ph006d4,Stroke: ever diagnosed/currently having,sharew4_rel9-0-0_ph.dta,True
ph006d5,Diabetes or high blood sugar: ever diagnosed/currently having,sharew4_rel9-0-0_ph.dta,True
ph006d6,Chronic lung disease: ever diagnosed/currently having,sharew4_rel9-0-0_ph.dta,True
ph006d7,Asthma: ever diagnosed/currently having,sharew4_rel9-0-0_ph.dta,True
ph006d8,Arthritis: ever diagnosed/currently having,sharew4_rel9-0-0_ph.dta,True
ph006d9,Osteoporosis: ever diagnosed/currently having,sharew4_rel9-0-0_ph.dta,True
ph006d10,Cancer: ever diagnosed/currently having,sharew4_rel9-0-0_ph.dta,True
ph006d11,Stomach or duodenal ulcer peptic ulcer: ever diagnosed/currently having,sharew4_rel9-0-0_ph.dta,True
ph006d12,Parkinson disease: ever diagnosed/currently having,sharew4_rel9-0-0_ph.dta,True
ph006d13,Cataracts: ever diagnosed/currently having,sharew4_rel9-0-0_ph.dta,True
ph006d14,Hip fracture or femoral fracture: ever diagnosed/currently having,sharew4_rel9-0-0_ph.dta,True
ph006d15,Other fractures: ever diagnosed/currently having,sharew4_rel9-0-0_ph.dta,True
