column,file_name
mergeid,sharew8_rel9-0-0_gv_accelerometer_sleep.dta
country,sharew8_rel9-0-0_gv_accelerometer_sleep.dta
language,sharew8_rel9-0-0_gv_accelerometer_sleep.dta
ActiPASS_LongBedtime,sharew8_rel9-0-0_gv_accelerometer_sleep.dta
ActiPASS_LongSleep,sharew8_rel9-0-0_gv_accelerometer_sleep.dta
measurementday_SleepStart,sharew8_rel9-0-0_gv_accelerometer_sleep.dta
ActiPASS_Time_SleepStart,sharew8_rel9-0-0_gv_accelerometer_sleep.dta
measurementday_SleepEnd,sharew8_rel9-0-0_gv_accelerometer_sleep.dta
ActiPASS_Time_SleepEnd,sharew8_rel9-0-0_gv_accelerometer_sleep.dta
ActiPASS_SleepInterval,sharew8_rel9-0-0_gv_accelerometer_sleep.dta
ActiPASS_TotalSleep,sharew8_rel9-0-0_gv_accelerometer_sleep.dta
euro,sharew8_rel9-0-0_gv_exrates.dta
currency,sharew8_rel9-0-0_gv_exrates.dta
exrate_w1,sharew8_rel9-0-0_gv_exrates.dta
exrate_w2,sharew8_rel9-0-0_gv_exrates.dta
exrate_w3,sharew8_rel9-0-0_gv_exrates.dta
exrate_w4,sharew8_rel9-0-0_gv_exrates.dta
exrate_w5,sharew8_rel9-0-0_gv_exrates.dta
exrate_w6,sharew8_rel9-0-0_gv_exrates.dta
exrate_w7,sharew8_rel9-0-0_gv_exrates.dta
exrate_w8,sharew8_rel9-0-0_gv_exrates.dta
exrate_w8ca,sharew8_rel9-0-0_gv_exrates.dta
exrate_w9ca,sharew8_rel9-0-0_gv_exrates.dta
exrate_w9,sharew8_rel9-0-0_gv_exrates.dta
nomx2003,sharew8_rel9-0-0_gv_exrates.dta
nomx2004,sharew8_rel9-0-0_gv_exrates.dta
nomx2005,sharew8_rel9-0-0_gv_exrates.dta
nomx2006,sharew8_rel9-0-0_gv_exrates.dta
nomx2007,sharew8_rel9-0-0_gv_exrates.dta
nomx2008,sharew8_rel9-0-0_gv_exrates.dta
nomx2009,sharew8_rel9-0-0_gv_exrates.dta
nomx2010,sharew8_rel9-0-0_gv_exrates.dta
nomx2011,sharew8_rel9-0-0_gv_exrates.dta
nomx2012,sharew8_rel9-0-0_gv_exrates.dta
nomx2013,sharew8_rel9-0-0_gv_exrates.dta
nomx2014,sharew8_rel9-0-0_gv_exrates.dta
nomx2015,sharew8_rel9-0-0_gv_exrates.dta
nomx2016,sharew8_rel9-0-0_gv_exrates.dta
nomx2017,sharew8_rel9-0-0_gv_exrates.dta
nomx2018,sharew8_rel9-0-0_gv_exrates.dta
nomx2019,sharew8_rel9-0-0_gv_exrates.dta
nomx2020,sharew8_rel9-0-0_gv_exrates.dta
nomx2021,sharew8_rel9-0-0_gv_exrates.dta
nomx2022,sharew8_rel9-0-0_gv_exrates.dta
pppc2003,sharew8_rel9-0-0_gv_exrates.dta
pppc2004,sharew8_rel9-0-0_gv_exrates.dta
pppc2005,sharew8_rel9-0-0_gv_exrates.dta
pppc2006,sharew8_rel9-0-0_gv_exrates.dta
pppc2007,sharew8_rel9-0-0_gv_exrates.dta
pppc2008,sharew8_rel9-0-0_gv_exrates.dta
pppc2009,sharew8_rel9-0-0_gv_exrates.dta
pppc2010,sharew8_rel9-0-0_gv_exrates.dta
pppc2011,sharew8_rel9-0-0_gv_exrates.dta
pppc2012,sharew8_rel9-0-0_gv_exrates.dta
pppc2013,sharew8_rel9-0-0_gv_exrates.dta
pppc2014,sharew8_rel9-0-0_gv_exrates.dta
pppc2015,sharew8_rel9-0-0_gv_exrates.dta
pppc2016,sharew8_rel9-0-0_gv_exrates.dta
pppc2017,sharew8_rel9-0-0_gv_exrates.dta
pppc2018,sharew8_rel9-0-0_gv_exrates.dta
pppc2019,sharew8_rel9-0-0_gv_exrates.dta
pppc2020,sharew8_rel9-0-0_gv_exrates.dta
pppc2021,sharew8_rel9-0-0_gv_exrates.dta
pppc2022,sharew8_rel9-0-0_gv_exrates.dta
pppk2003,sharew8_rel9-0-0_gv_exrates.dta
pppk2004,sharew8_rel9-0-0_gv_exrates.dta
pppk2005,sharew8_rel9-0-0_gv_exrates.dta
pppk2006,sharew8_rel9-0-0_gv_exrates.dta
pppk2007,sharew8_rel9-0-0_gv_exrates.dta
pppk2008,sharew8_rel9-0-0_gv_exrates.dta
pppk2009,sharew8_rel9-0-0_gv_exrates.dta
pppk2010,sharew8_rel9-0-0_gv_exrates.dta
pppk2011,sharew8_rel9-0-0_gv_exrates.dta
pppk2012,sharew8_rel9-0-0_gv_exrates.dta
pppk2013,sharew8_rel9-0-0_gv_exrates.dta
pppk2014,sharew8_rel9-0-0_gv_exrates.dta
pppk2015,sharew8_rel9-0-0_gv_exrates.dta
pppk2016,sharew8_rel9-0-0_gv_exrates.dta
pppk2017,sharew8_rel9-0-0_gv_exrates.dta
pppk2018,sharew8_rel9-0-0_gv_exrates.dta
pppk2019,sharew8_rel9-0-0_gv_exrates.dta
pppk2020,sharew8_rel9-0-0_gv_exrates.dta
pppk2021,sharew8_rel9-0-0_gv_exrates.dta
pppk2022,sharew8_rel9-0-0_gv_exrates.dta
currency_pre,sharew8_rel9-0-0_gv_exrates.dta
exrate_pre,sharew8_rel9-0-0_gv_exrates.dta
hhid8,sharew8_rel9-0-0_gv_housing.dta
mergeidp8,sharew8_rel9-0-0_gv_housing.dta
coupleid8,sharew8_rel9-0-0_gv_housing.dta
areabldgi,sharew8_rel9-0-0_gv_housing.dta
typebldgi6,sharew8_rel9-0-0_gv_housing.dta
