file_name,wave,n_rows,n_columns,columns,labels,is_normal,is_gv
sharew5_rel9-0-0_as.dta,5,66038,96,"['mergeid', 'hhid5', 'mergeidp5', 'coupleid5', 'country', 'language', 'exrate', 'as003e', 'as003ub', 'as003v1', 'as003v2', 'as003v3', 'as007e', 'as007ub', 'as007v1', 'as007v2', 'as007v3', 'as011e', 'as011ub', 'as011v1', 'as011v2', 'as011v3', 'as017e', 'as017ub', 'as017v1', 'as017v2', 'as017v3', 'as019_', 'as020_', 'as021e', 'as021ub', 'as021v1', 'as021v2', 'as021v3', 'as023_', 'as024e', 'as024ub', 'as024v1', 'as024v2', 'as024v3', 'as026_', 'as027e', 'as027ub', 'as027v1', 'as027v2', 'as027v3', 'as029_', 'as030e', 'as030ub', 'as030v1', 'as030v2', 'as030v3', 'as041_', 'as042e', 'as042ub', 'as042v1', 'as042v2', 'as042v3', 'as044_', 'as044ub', 'as044v1', 'as044v2', 'as044v3', 'as049_', 'as051e', 'as051ub', 'as051v1', 'as051v2', 'as051v3', 'as054d1', 'as054d2', 'as054d3', 'as054d4', 'as054d5', 'as054d6', 'as054dno', 'as054dot', 'as055e', 'as055ub', 'as055v1', 'as055v2', 'as055v3', 'as057_', 'as060_', 'as061_', 'as062_', 'as063_', 'as064_', 'as065_', 'as066_', 'as067_', 'as070e', 'as070ub', 'as070v1', 'as070v2', 'as070v3']","['Person identifier (fix across modules and waves)', 'Household identifier (wave 5)', 'Partner identifier (wave 5)', 'Couple identifier (wave 5)', 'Country identifier', 'Language of questionnaire', 'Exchange rate 1 euro', 'Amount bank account', 'Amount bank account ub', 'Bracket value 1', 'Bracket value 2', 'Bracket value 3', 'Amount in bonds', 'Amount in bonds ub', 'Bracket value 1', 'Bracket value 2', 'Bracket value 3', 'Amount in stocks', 'Amount in stocks ub', 'Bracket value 1', 'Bracket value 2', 'Bracket value 3', 'Amount in mutual funds', 'Amount in mutual funds ub', 'Bracket value 1', 'Bracket value 2', 'Bracket value 3', 'Mutual funds mostly stocks or bonds', 'Who has individual retirement accounts', 'Amount individual retirement accounts', 'Amount individual retirement accounts ub', 'Bracket value 1', 'Bracket value 2', 'Bracket value 3', 'Individual retirement accounts mostly in stocks or bonds', 'Partner amount individual retirement accounts', 'Partner amount individual retirement accounts ub', 'Bracket value 1', 'Bracket value 2', 'Bracket value 3', 'Partner individual retirement accounts mostly in stocks or bonds', 'Amount contractual saving for housing', 'Amount contractual saving for housing ub', 'Bracket value 1', 'Bracket value 2', 'Bracket value 3', 'Life insurance policies term or whole life', 'Face value of whole life policies', 'Face value of whole life policies ub', 'Bracket value 1', 'Bracket value 2', 'Bracket value 3', 'Own firm company business', 'Amount selling firm', 'Amount selling firm ub', 'Bracket value 1', 'Bracket value 2', 'Bracket value 3', 'Percentage share firm owned', 'Percentage share firm owned ub', 'Bracket value 1', 'Bracket value 2', 'Bracket value 3', 'Number of cars', 'Amount selling cars', 'Amount selling cars ub', 'Bracket value 1', 'Bracket value 2', 'Bracket value 3', 'Owe money: debt on cars and other vehicles (vans/motorcycles/boats, etc.)', 'Owe money: debt on credit cards/store cards', 'Owe money: loans (from bank, building society, other financial institution)', 'Owe money: debts to relatives or friends', 'Owe money: student loans', 'Owe money: overdue bills (phone, electricity, heating, rent)', 'Owe money: none of these', 'Owe money: other', 'Amount owing money in total', 'Amount owing money in total ub', 'Bracket value 1', 'Bracket value 2', 'Bracket value 3', 'Who answered the question in as', 'Has bank account', 'Reason for not having a bank account', 'Has bonds', 'Has stocks', 'Has mutual funds', 'Has individual retirement accounts', 'Has contractual saving', 'Has life insurance', 'Interest or dividend income', 'Interest or dividend income ub', 'Bracket value 1', 'Bracket value 2', 'Bracket value 3']",True,False
sharew5_rel9-0-0_co.dta,5,66038,34,"['mergeid', 'hhid5', 'mergeidp5', 'coupleid5', 'country', 'language', 'exrate', 'co002e', 'co002ub', 'co002v1', 'co002v2', 'co002v3', 'co003e', 'co003ub', 'co003v1', 'co003v2', 'co003v3', 'co007_', 'co009_', 'co010_', 'co011e', 'co011ub', 'co011v1', 'co011v2', 'co011v3', 'co020e', 'co201_', 'co202_', 'co206_', 'co207_', 'co208_', 'co209_', 'co211_', 'co213_']","['Person identifier (fix across modules and waves)', 'Household identifier (wave 5)', 'Partner identifier (wave 5)', 'Couple identifier (wave 5)', 'Country identifier', 'Language of questionnaire', 'Exchange rate 1 euro', 'Amount spent on food at home', 'Amount spent on food at home ub', 'Bracket value 1', 'Bracket value 2', 'Bracket value 3', 'Amount spent on food outside the home', 'Amount spent on food outside the home ub', 'Bracket value 1', 'Bracket value 2', 'Bracket value 3', 'Is household able to make ends meet', 'Who answered the questions in co', 'Consume home produced food', 'Value of home produced food', 'Value of home produced food ub', 'Bracket value 1', 'Bracket value 2', 'Bracket value 3', 'Minimum amount needed per month', 'Afford to regularly buy necessary groceries', 'Afford to go on holiday at least once a year (a week long)', 'Afford to pay an unexpected expense without borrowing money', 'To help keeping living costs down: continued wearing clothing that was worn out', 'To help keeping living costs down: continued wearing shoes that were worn out', 'To help keeping living costs down: put up with feeling cold', 'To help keeping living costs down: postponed visits to the dentist', 'To help keeping living costs down: gone without or not replaced glasses']",True,False
sharew5_rel9-0-0_ac.dta,5,66038,38,"['mergeid', 'hhid5', 'mergeidp5', 'coupleid5', 'country', 'language', 'ac012_', 'ac014_', 'ac015_', 'ac016_', 'ac017_', 'ac018_', 'ac019_', 'ac020_', 'ac021_', 'ac022_', 'ac023_', 'ac024_', 'ac025_', 'ac035d1', 'ac035d4', 'ac035d5', 'ac035d6', 'ac035d7', 'ac035d8', 'ac035d9', 'ac035d10', 'ac035dno', 'ac036_1', 'ac036_4', 'ac036_5', 'ac036_6', 'ac036_7', 'ac036_8', 'ac036_9', 'ac036_10', 'ac037_', 'ac038_']","['Person identifier (fix across modules and waves)', 'Household identifier (wave 5)', 'Partner identifier (wave 5)', 'Couple identifier (wave 5)', 'Country identifier', 'Language of questionnaire', 'How satisfied with life', 'Age prevents from doing things', 'Out of control', 'Feel left out of things', 'Do the things you want to do', 'Family responsibilities prevent', 'Shortage of money stops', 'Look forward to each day', 'Life has meaning', 'Look back on life with happiness', 'Feel full of energy', 'Full of opportunities', 'Future looks good', 'Activities in last year: done voluntary or charity work', 'Activities in last year: attended an educational or training course', 'Activities in last year: gone to a sport, social or other kind of club', 'Activities in last year: taken part in activities of a religious organization', 'Activities in last year: taken part in a political or community-related organiza', 'Activities in last year: read books, magazines or newspapers', 'Activities in last year: did word or number games (crossword puzzles/Sudoku...)', 'Activities in last year: played cards or games such as chess', 'Activities in last year: none of these', 'How often done voluntary/charity work the last 12 months', 'How often attended an educational or training course the last 12 months', 'How often gone to a sport/social/other kind of club the last 12 months', 'How often taken part in activities of a religious organization the last 12 month', 'How often taken part in a political/community-related organization the last 12 m', 'How often read books, magazines or newspapers the last 12 months', 'How often did word or number games the last 12 months', 'How often played cards or games such as chess the last 12 months', 'Satisfied with activities', 'Satisfied with no activities']",True,False
sharew5_rel9-0-0_xt.dta,5,2194,147,"['mergeid', 'hhid5', 'country', 'language_xt', 'gender_xt', 'yrbirth_xt', 'exrate', 'xt002_', 'xt005_', 'xt006_', 'xt007_', 'xt008_', 'xt009_', 'xt010_', 'xt011_', 'xt012c', 'xt013_', 'xt014_', 'xt015_', 'xt016_', 'xt018_1', 'xt018_2', 'xt018_3', 'xt018_4', 'xt018_5', 'xt018_6', 'xt018_7', 'xt018_8', 'xt019e_1', 'xt019e_2', 'xt019e_3', 'xt019e_4', 'xt019e_5', 'xt019e_6', 'xt019e_7', 'xt019e_8', 'xt019ub_1', 'xt019ub_2', 'xt019ub_3', 'xt019ub_4', 'xt019ub_5', 'xt019ub_6', 'xt019ub_7', 'xt019ub_8', 'xt019v1', 'xt019v2', 'xt019v3', 'xt020d1', 'xt020d2', 'xt020d3', 'xt020d4', 'xt020d5', 'xt020d6', 'xt020dno', 'xt022_', 'xt023d1', 'xt023d2', 'xt023d3', 'xt023d4', 'xt023d5', 'xt023d6', 'xt023d7', 'xt023d8', 'xt023d9', 'xt023d10', 'xt023d11', 'xt023d12', 'xt023d13', 'xt023d14', 'xt023d15', 'xt023dot', 'xt024_', 'xt025_', 'xt026_', 'xt027d1', 'xt027d2', 'xt027d3', 'xt027d4', 'xt027d5', 'xt027d6', 'xt027d7', 'xt027d8', 'xt027d9', 'xt030_', 'xt031e', 'xt031ub', 'xt031v1', 'xt031v2', 'xt031v3', 'xt032d1', 'xt032d2', 'xt032d3', 'xt032d4', 'xt032d5', 'xt032d6', 'xt032d7', 'xt033_', 'xt034e', 'xt035d1', 'xt035d2', 'xt035d3', 'xt035d4', 'xt035d5', 'xt035d6', 'xt035d7', 'xt037_1', 'xt037_2', 'xt037_3', 'xt037_4', 'xt037_5', 'xt038e_1', 'xt038e_2', 'xt038e_3', 'xt038e_4', 'xt038e_5', 'xt038ub_1', 'xt038ub_2', 'xt038ub_3', 'xt038ub_4', 'xt038ub_5', 'xt038v1_1', 'xt038v1_2', 'xt038v1_3', 'xt038v1_4', 'xt038v1_5', 'xt038v2_1', 'xt038v2_2', 'xt038v2_3', 'xt038v2_4', 'xt038v2_5', 'xt038v3_1', 'xt038v3_2', 'xt038v3_3', 'xt038v3_4', 'xt038v3_5', 'xt039_', 'xt040a_', 'xt040b_', 'xt040c_', 'xt040d_', 'xt040e_', 'xt041_', 'xt043_', 'xt105_', 'xt106_', 'xt107_', 'xt109_']","['Person identifier (fix across modules and waves)', 'Household identifier (wave 5)', 'Country identifier', 'Language: End of life interview', 'Gender of the deceased', 'Year of birth of the deceased', 'Exchange rate 1 euro', 'Relationship to the deceased', 'How often contact last twelve month', ""Proxy respondent's sex"", 'Year of birth proxy', 'Month of decease', 'Year of decease', 'Age at the moment of decease', 'Main cause of death', 'Main cause of death: xt012 coded', 'How long been ill before decease', 'Place of dying', 'Times in hospital last year before dying', 'Total time in hospital last year before dying', 'Type of medical care in last 12 months: care from a general practitioner', 'Type of medical care in last 12 months: care from specialist physicians', 'Type of medical care in last 12 months: hospital stays', 'Type of medical care in last 12 months: care in a nursing home', 'Type of medical care in last 12 months: hospice stays', 'Type of medical care in last 12 months: medication', 'Type of medical care in last 12 months: aids and appliances', 'Type of medical care in last 12 months: home care or help due to disability', 'Costs: care from a general practitioner', 'Costs: care from specialist physicians', 'Costs: hospital stays', 'Costs: care in a nursing home', 'Costs: hospice stays', 'Costs: medication', 'Costs: aids and appliances', 'Costs: home care or help due to disability', 'Costs: care from a general practitioner ub', 'Costs: care from specialist physicians ub', 'Costs: hospital stays ub', 'Costs: care in a nursing home ub', 'Costs: hospice stays ub', 'Costs: medication ub', 'Costs: aids and appliances ub', 'Costs: home care or help due to disability ub', 'Bracket value 1', 'Bracket value 2', 'Bracket value 3', 'Difficulties doing activities: dressing, including putting on shoes and socks', 'Difficulties doing activities: walking across a room', 'Difficulties doing activities: bathing or showering', 'Difficulties doing activities: eating, such as cutting up your food', 'Difficulties doing activities: getting in or out of bed', 'Difficulties doing activities: using the toilet, including getting up or down', 'Difficulties doing activities: none of these', 'Anyone helped with ADL', 'Who has helped with ADL: yourself (proxy respondent)', 'Who has helped with ADL: spouse/partner of deceased', 'Who has helped with ADL: mother/father of deceased', 'Who has helped with ADL: son of deceased', 'Who has helped with ADL: son-in-law of deceased', 'Who has helped with ADL: daughter of deceased', 'Who has helped with ADL: daughter-in-law of deceased', 'Who has helped with ADL: grandson of deceased', 'Who has helped with ADL: granddaughter of deceased', 'Who has helped with ADL: sister of deceased', 'Who has helped with ADL: brother of deceased', 'Who has helped with ADL: other relative', 'Who has helped with ADL: unpaid volunteer', 'Who has helped with ADL: professional helper', 'Who has helped with ADL: friend/neighbor of deceased', 'Who has helped with ADL: other person', 'Time the deceased received help', 'Hours of help necessary during typical day', 'The deceased had a will', 'Beneficiaries of the estate: yourself (proxy)', 'Beneficiaries of the estate: spouse/partner of the deceased', 'Beneficiaries of the estate: children of the deceased', 'Beneficiaries of the estate: grandchildren of the deceased', 'Beneficiaries of the estate: siblings of the deceased', 'Beneficiaries of the estate: other relatives of the deceased', 'Beneficiaries of the estate: other non-relatives', 'Beneficiaries of the estate: church, foundation or charitable organization', 'Beneficiaries of the estate: deceased did not leave anything at all (SPONTANEOUS', 'The deceased owned home', 'Value of home after mortgages', 'Values home after mortgages ub', 'Bracket value 1', 'Bracket value 2', 'Bracket value 3', 'Who inherited the home of the deceased: yourself (proxy)', 'Who inherited the home of the deceased: spouse/partner of the deceased', 'Who inherited the home of the deceased: sons/daughters', 'Who inherited the home of the deceased: grandchildren of the deceased', 'Who inherited the home of the deceased: siblings of the deceased', 'Who inherited the home of the deceased: other relatives', 'Who inherited the home of the deceased: other non-relatives', 'Deceased owned any life insurance policies', 'Value of all life insurance policies', 'Beneficiaries of the life insurance policies: yourself (proxy)', 'Beneficiaries of the life insurance policies: spouse/partner of the deceased', 'Beneficiaries of the life insurance policies: sons/daughters', 'Beneficiaries of the life insurance policies: grandchildren of the deceased', 'Beneficiaries of the life insurance policies: siblings of the deceased', 'Beneficiaries of the life insurance policies: other relatives', 'Beneficiaries of the life insurance policies: other non-relatives', 'Deceased owned assets: business, including land or permises', 'Deceased owned assets: other real estate', 'Deceased owned assets: cars', 'Deceased owned assets: financial assets, e.g. cash/bonds/stocks', 'Deceased owned assets: jewelry or antiquities', 'Value of assets: business, including land or permises', 'Value of assets: other real estate', 'Value of assets: cars', 'Value of assets: financial assets, e.g. cash, bonds or stocks', 'Value of assets: jewelry or antiquities', 'Value of assets: business, including land or permises ub', 'Value of assets: other real estate ub', 'Value of assets: cars ub', 'Value of assets: financial assets, e.g. cash, bonds or stocks ub', 'Value of assets: jewelry or antiquities ub', 'Bracket value 1: business, including land or permises', 'Bracket value 1: other real estate', 'Bracket value 1: cars', 'Bracket value 1: financial assets, e.g. cash/bonds/stocks', 'Bracket value 1: jewelry or antiquities', 'Bracket value 2: business, including land or permises', 'Bracket value 2: other real estate', 'Bracket value 2: cars', 'Bracket value 2: financial assets, e.g. cash/bonds/stocks', 'Bracket value 2: jewelry or antiquities', 'Bracket value 3: business, including land or permises', 'Bracket value 3: other real estate', 'Bracket value 3: cars', 'Bracket value 3: financial assets, e.g. cash/bonds/stocks', 'Bracket value 3: jewelry or antiquities', 'Number of children (still alive) deceased had at the end', 'Estate divided among children', 'Some children received more to make up for previous gifts', 'Some children received more to give them financial support', 'Some children received more because they helped/cared for deceased', 'Some children received more because of other reasons', 'Funeral was accompanied by a religious ceremony', 'Interview mode', 'Difficulties remembering where he/she was', 'Difficulties remembering the year', 'Difficulties recognizing', 'Deceased married at time of death']",True,False
